_id,MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
1,Addington Highlands Tp,Hogg,Henry,Reeve,980,1539,Elected,Yes,Yes,No
2,Addington Highlands Tp,Fritsch,Tony,Local Councillor,464,1226,Elected,Yes,Yes,No
3,Addington Highlands Tp,Thompson,Kirby,Local Councillor,377,1226,Elected,Yes,Yes,No
4,Addington Highlands Tp,Yanch,E. Helen,Local Councillor,366,1482,Elected,Yes,Yes,No
5,Addington Highlands Tp,Hook,Kenneth,Local Councillor,563,1482,Elected,No,No,No
6,Adelaide-Metcalfe Tp,Clarke,Susan,Mayor,,,Acclaimed,Yes,No,No
7,Adelaide-Metcalfe Tp,Brodie,Mike,Local Councillor,581,3091,Elected,Yes,Yes,No
8,Adelaide-Metcalfe Tp,MacKinnon,Betty Ann,Local Councillor,460,3091,Elected,Yes,Yes,No
9,Adelaide-Metcalfe Tp,Kingma,Garett,Local Councillor,455,3091,Elected,No,No,No
10,Adelaide-Metcalfe Tp,Noordhof,Arend,Local Councillor,467,3091,Elected,No,No,No
11,Adjala-Tosorontio Tp,Anderson,Scott W.,Mayor,1608,3604,Elected,Yes,No,No
12,Adjala-Tosorontio Tp,Simson,Anub,Local Councillor,403,604,Elected,No,No,No
13,Adjala-Tosorontio Tp,Meadows,Bob,Local Councillor,455,696,Elected,Yes,No,No
14,Adjala-Tosorontio Tp,O'Leary,Ronald,Local Councillor,434,667,Elected,Yes,Yes,No
15,Adjala-Tosorontio Tp,Borsos,Miklos,Local Councillor,322,923,Elected,No,No,No
16,Adjala-Tosorontio Tp,Cox,Adam,Local Councillor,356,714,Elected,No,No,No
17,Adjala-Tosorontio Tp,Lachs,Julius,Deputy Mayor,1828,3604,Elected,No,No,No
18,Admaston-Bromley Tp,Donohue,Michael,Mayor,718,1302,Elected,Yes,Yes,No
19,Admaston-Bromley Tp,LeGris,Kevin,Local Councillor,801,1321,Elected,Yes,Yes,No
20,Admaston-Bromley Tp,Gourley,Keith,Local Councillor,1052,1321,Elected,No,No,No
21,Admaston-Bromley Tp,Hamilton,Brian,Local Councillor,703,1321,Elected,No,No,No
22,Admaston-Bromley Tp,Field,Angela,Local Councillor,679,1321,Elected,No,No,No
23,Ajax T,Collier,Shaun,Mayor,11691,18759,Elected,Yes,Yes,No
24,Ajax T,Tyler-Morin,Rob,Local Councillor,4475,6298,Elected,Yes,Yes,No
25,Ajax T,Henry,Nancy,Local Councillor,1667,5340,Elected,No,No,No
26,Ajax T,Bower,Lisa,Local Councillor,6117,6941,Elected,Yes,Yes,No
27,Ajax T,Crawford,Marilyn,Local and Regional Councillor,5108,6330,Elected,Yes,Yes,No
28,Ajax T,Lee,Sterling,Local and Regional Councillor,3066,5217,Elected,Yes,Yes,No
29,Ajax T,Dies,Joanne,Local and Regional Councillor,5095,6906,Elected,Yes,Yes,No
30,Alberton Tp,Ford,Mike,Reeve,194,353,Elected,Yes,Yes,No
31,Alberton Tp,Spence,Shawn,Local Councillor,,,Acclaimed,Yes,Yes,No
32,Alberton Tp,Glowasky,Diane,Local Councillor,,,Acclaimed,Yes,Yes,No
33,Alberton Tp,Dennis,Tyson,Local Councillor,,,Acclaimed,Yes,Yes,No
34,Alberton Tp,Spuzak,Peter,Local Councillor,,,Acclaimed,Yes,Yes,No
35,Alfred and Plantagenet Tp,Laviolette,Yves,Mayor,1454,3442,Elected,Yes,Yes,No
36,Alfred and Plantagenet Tp,Cadieux,Jean-Pierre,Local Councillor,,,Acclaimed,Yes,Yes,No
37,Alfred and Plantagenet Tp,Viau,Antoni,Local Councillor,1153,3070,Elected,Yes,Yes,No
38,Alfred and Plantagenet Tp,Walker,Ian,Local Councillor,1121,3070,Elected,Yes,Yes,No
39,Alfred and Plantagenet Tp,Lamarche,Benoit,Local Councillor,,,Acclaimed,No,No,No
40,Algonquin Highlands Tp,Danielsen,Liz,Mayor,1024,2288,Elected,Yes,No,No
41,Algonquin Highlands Tp,Barry,Lisa,Local Councillor,798,1573,Elected,Yes,Yes,No
42,Algonquin Highlands Tp,Dailloux,Jennifer,Local Councillor,,,Acclaimed,Yes,Yes,No
43,Algonquin Highlands Tp,Shortreed,Julia,Local Councillor,,,Acclaimed,Yes,Yes,No
44,Algonquin Highlands Tp,Richards,Sabrina,Local Councillor,930,1573,Elected,No,No,No
45,Alnwick-Haldimand Tp,Logel,John,Mayor,1034,2468,Elected,No,No,No
46,Alnwick-Haldimand Tp,Booth,Greg,Local Councillor,1012,6382,Elected,Yes,Yes,No
47,Alnwick-Haldimand Tp,Ainsworth,Mike,Local Councillor,1426,6382,Elected,No,No,No
48,Alnwick-Haldimand Tp,O'Neill,Mary Catherine,Local Councillor,1231,6382,Elected,No,No,No
49,Alnwick-Haldimand Tp,Stover,Joan,Deputy Mayor,1645,2460,Elected,No,No,No
50,Amaranth Tp,Gerrits,Chris,Mayor,700,1126,Elected,Yes,No,No
51,Amaranth Tp,Metzger,Brad,Local Councillor,695,,Elected,No,No,No
52,Amaranth Tp,Graham,Susan,Local Councillor,655,,Elected,No,No,No
53,Amaranth Tp,Stirk,Andrew,Local Councillor,609,,Elected,No,No,No
54,Amaranth Tp,Little,Gail,Deputy Mayor,580,1104,Elected,Yes,No,No
55,Amherstburg T,Prue,Michael,Mayor,3488,7129,Elected,Yes,No,No
56,Amherstburg T,Courtney,Peter,Local Councillor,2743,29785,Elected,Yes,Yes,No
57,Amherstburg T,McArthur,Donald,Local Councillor,3091,29785,Elected,Yes,Yes,No
58,Amherstburg T,Allaire,Molly,Local Councillor,2858,29785,Elected,No,No,No
59,Amherstburg T,Crain,Linden,Local Councillor,3795,29785,Elected,No,No,No
60,Amherstburg T,Pouget,Diane,Local Councillor,2624,29785,Elected,No,No,No
61,Amherstburg T,Gibb,Chris,Deputy Mayor,2766,7093,Elected,No,No,No
62,Armour Tp,Ward,Rod,Mayor,,,Acclaimed,Yes,No,No
63,Armour Tp,Blakelock,Rod,Local Councillor,,,Acclaimed,Yes,Yes,No
64,Armour Tp,Brandt,Jerry,Local Councillor,,,Acclaimed,Yes,Yes,No
65,Armour Tp,Whitwell,Wendy,Local Councillor,,,Acclaimed,Yes,Yes,No
66,Armour Tp,Haggart-Davis,Dorothy,Local Councillor,,,Acclaimed,No,No,No
67,Armstrong Tp,Boileau,Jean Marc,Mayor,,,Acclaimed,Yes,Yes,No
68,Armstrong Tp,Perreault,Daniel,Local Councillor,,,Acclaimed,Yes,Yes,No
69,Armstrong Tp,Rivard,Reynald,Local Councillor,,,Acclaimed,Yes,Yes,No
70,Armstrong Tp,Rivard,Michèle,Local Councillor,,,Acclaimed,Yes,Yes,No
71,Armstrong Tp,Harrison,Peggy,Local Councillor,,,Acclaimed,No,No,No
72,Arnprior T,McGee,Lisa,Mayor,1868,3518,Elected,Yes,No,No
73,Arnprior T,Burnette,Tom,Local Councillor,1647,15224,Elected,Yes,Yes,No
74,Arnprior T,Grinstead,Lynn,Local Councillor,1674,15224,Elected,Yes,Yes,No
75,Arnprior T,Toner,Chris,Local Councillor,2078,15224,Elected,Yes,Yes,No
76,Arnprior T,Couper,Chris,Local Councillor,1921,15224,Elected,No,No,No
77,Arnprior T,Denault,Billy,Local Councillor,1621,15224,Elected,No,No,No
78,Arnprior T,Lynch,Dan,Local and County Councillor,1987,3256,Elected,Yes,Yes,No
79,Arran-Elderslie M,Hammell,Steve,Mayor,,,Acclaimed,Yes,Yes,No
80,Arran-Elderslie M,Nickason,Ryan,Local Councillor,489,563,Elected,Yes,Yes,No
81,Arran-Elderslie M,Dudgeon,Brian,Local Councillor,218,337,Elected,Yes,Yes,No
82,Arran-Elderslie M,Hampton,Darryl,Local Councillor,,,Acclaimed,No,No,No
83,Arran-Elderslie M,Penner,Moiken,Local Councillor,,,Acclaimed,No,No,No
84,Arran-Elderslie M,Steinacker,Peter,Local Councillor,309,527,Elected,No,No,No
85,Arran-Elderslie M,Christie,Jennifer,Deputy Mayor,1704,2426,Elected,No,No,No
86,Ashfield-Colborne-Wawanosh Tp,McNeil,Glen,Mayor,,,Acclaimed,Yes,Yes,No
87,Ashfield-Colborne-Wawanosh Tp,Miltenburg,Jennifer,Local Councillor,1189,2373,Elected,Yes,Yes,No
88,Ashfield-Colborne-Wawanosh Tp,Forster,Wayne,Local Councillor,2247,2375,Elected,Yes,Yes,No
89,Ashfield-Colborne-Wawanosh Tp,Snobelen,Anita,Local Councillor,1298,2375,Elected,Yes,Yes,No
90,Ashfield-Colborne-Wawanosh Tp,Hickey,Evan,Local Councillor,1408,2375,Elected,No,No,No
91,Ashfield-Colborne-Wawanosh Tp,Blake,Curtis,Local Councillor,1328,2375,Elected,No,No,No
92,Ashfield-Colborne-Wawanosh Tp,Vanstone,Bill,Deputy Mayor,1480,2375,Elected,Yes,No,No
93,Asphodel-Norwood Tp,Wilford,Patrick,Mayor,813,1583,Elected,No,No,No
94,Asphodel-Norwood Tp,Walsh,Barry,Local Councillor,1244,4017,Elected,Yes,Yes,No
95,Asphodel-Norwood Tp,Warr,Paula,Local Councillor,1262,4017,Elected,Yes,Yes,No
96,Asphodel-Norwood Tp,Hodge-Greaves,Stephanie,Local Councillor,957,4017,Elected,No,No,No
97,Asphodel-Norwood Tp,Burtt,Lori,Deputy Mayor,,,Acclaimed,Yes,Yes,No
98,Assiginack Tp,Reid,Brenda,Mayor,428,692,Elected,No,No,No
99,Assiginack Tp,Maguire,Robert,Local Councillor,336,703,Elected,Yes,Yes,No
100,Assiginack Tp,Bowerman,Janice,Local Councillor,375,703,Elected,No,No,No
101,Assiginack Tp,Elliott,Dwayne,Local Councillor,472,703,Elected,No,No,No
102,Assiginack Tp,Hooper,Jennifer,Local Councillor,301,703,Elected,No,No,No
103,Athens Tp,Scott,Herb,Mayor,421,623,Elected,Yes,Yes,No
104,Athens Tp,Alguire,Darin,Local Councillor,456,637,Elected,Yes,Yes,No
